bin_centers,bin_edges,hist
13718.175001902,13703.750001900002,2402
13747.025001906,13732.600001904,2413
13775.87500191,13761.450001908,2388
13804.725001914001,13790.300001912,2369
13833.575001918001,13819.150001916001,2237
13862.425001922002,13848.000001920002,2110
13891.275001926,13876.850001924,2363
13920.12500193,13905.700001928,2324
13948.975001934,13934.550001932,2282
13977.825001938001,13963.400001936001,2437
14006.675001942001,13992.250001940001,2235
14035.525001946,14021.100001944002,2263
14064.37500195,14049.950001948,2240
14093.225001954,14078.800001952,2417
14122.075001958001,14107.650001956,2211
14150.925001962001,14136.500001960001,2263
14179.775001966002,14165.350001964001,2362
14208.625001970002,14194.200001968002,2276
14237.475001974,14223.050001972,2233
14266.325001978,14251.900001976,2253
14295.175001982001,14280.75000198,2105
14324.025001986001,14309.600001984001,2366
14352.87500199,14338.450001988002,2087
14381.725001994,14367.300001992,2222
14410.575001998,14396.150001996,2217
